video_id,标题,视频链接,account,Code琬儿,Code清涛,Code文昡,final_code,note
10502,这样的集体生日，真让人难忘啊！（武警江西总队 左阳、李彪、宋涛；编辑：徐礼跃）,https://www.douyin.com/video/7236727630525926696,人民武警,,0.0,,0,
2854,【军营一刻】哨兵：请让我再站一班岗！ #军营一刻  #军营趣事（苏启航、卢顺心、乐鸿伟、李嘉兴）,https://www.douyin.com/video/7199223212113235259,八一青春方阵,2.0,0.0,,0,
1147,高原炮兵没被褥？真相来了,https://www.douyin.com/video/7244337551668940032,中国军号,2.0,0.0,,2,
7427,想知道自己能不能成为飞行员？快来试试“招飞智询”！#希望能帮助到有需要的朋友,https://www.douyin.com/video/7211321168740093243,人民空军,1.0,0.0,0.0,0,
8407,母亲节｜我不在您身边的时候，照顾好自己(作者: 覃钊、雷慧莹、朱韫哲    编辑:韩咏轩)#母亲节 #感恩母亲节 #母亲节快乐妈妈辛苦了 #母亲,https://www.douyin.com/video/7232802250207317248,联勤集结号,2.0,2.0,2.0,2,
1137,专家：在美俄之间真选边站队并不符合印度利益！#军事制高点 #国际,https://www.douyin.com/video/7249541215018814732,中国军号,3.0,0.0,,3,
2032,选晋考核，开始！（杨军 吴泽鹏）,https://www.douyin.com/video/7202146050646248765,学习军团,1.0,1.0,,1,
588,“杨根思连”邀请烈士肖思远父母来队过年#新春走军营,https://www.douyin.com/video/7191316341163429160,中国军网,2.0,2.0,,2,
7170,【亮舰⑫：万吨大驱延安舰】延安舰作为最新入列的“万吨大驱”，是人民海军勇闯深蓝的利剑。（海军融媒体工作室出品 剪辑/温彬）#人民海军亮舰#亮舰,https://www.douyin.com/video/7191037111917743397,人民海军,1.0,4.0,4.0,4,
10396,谢谢小姐姐的“龙舟灯”！（武警湖北总队 王子成、江鑫；编辑：曾锦旭）,https://www.douyin.com/video/7247831420092091708,人民武警,,2.0,,2,
503,这是一场浪漫的刺杀操,https://www.douyin.com/video/7214696715130031360,中国军网,4.0,4.0,,4,
5953,我知道你戴军帽的样子，但是没想到这么帅啊#变装 #军装高频变身 #军旅青春终不悔#当兵就是这么帅 #兵哥哥军帽变装,https://www.douyin.com/video/7258207927201189160,北海舰队,1.0,0.0,,0,
2340,北部战区海军某大队官兵拍摄的军营版《反贪风暴》，让我们一起来看看……  #拍出电影感（杜家旭、吴秀威、宋宗建、孟子皓；编辑：郑洋榕）,https://www.douyin.com/video/7268091772885126456,八一青春方阵,2.0,0.0,,0,
3842,带你近距离体验实爆作业（邬小军 程博洋 杨鸿雕）#军事训练 #实爆 #爆破,https://www.douyin.com/video/7230741491126111548,人民前线,1.0,4.0,,4,
5376,听歌就要听军歌！用军歌打开各军兵种，瞬间充满力量#致敬人民子弟兵 #军歌嘹亮 #建军96周年 #中国人民解放军生日快乐 #八一建军节,https://www.douyin.com/video/7262219425808387343,北海舰队,1.0,4.0,,0,
10562,一封感谢函揭开一个暖心的救人故事，为田溢凡点赞！（武警山西总队 王胤祥、段金丰、董怡晨；编辑 吴敬楠）,https://www.douyin.com/video/7230004054791966009,人民武警,,1.0,,1,
3546,战友们的首次心理行为训练（方晓志）#军事训练 #心理,https://www.douyin.com/video/7284478379980655928,人民前线,1.0,0.0,,0,
1742,春天里的强军号角！3月7日晚7点#云观两会,https://www.douyin.com/video/7207692557130714402,中国军视网,1.0,0.0,,0,
11859,离别是为了下一次更好的相见，祝踏上征程的新战友们一路顺风！（作者：贺加 张凯洋 编辑：贺加）#参军入伍 #等我回来 #新兵入伍,https://www.douyin.com/video/7211333961052720442,沧海铸剑,,2.0,,2,
2849,这是你想要的男友力吗？#兵哥哥#男友力（丁国帅、李鹏超、李嘉睦、李嘉兴）,https://www.douyin.com/video/7200184881886842169,八一青春方阵,2.0,0.0,,0,
11262,七一薪火打卡『二十大关键词』｜㉑坚定不移全面从严治党,https://www.douyin.com/video/7190359225472765242,亮剑东南,,0.0,,0,
10586,营区附近车辆侧翻，武警官兵迅速救援（作者：武警江苏总队  郁帅、林高峰、卢海晓；编辑：别特）,https://www.douyin.com/video/7226344197241015613,人民武警,,1.0,,1,
3046,且看我一骑当关，敢教万夫莫开颜#迷彩  #军事训练  #歌曲踏雪  （作者：彭智军、翟文静、赵萌、吕雪祥 编辑：牟泓）,https://www.douyin.com/video/7290855390667902219,东部战区,1.0,0.0,,0,
4767,"我与二十大⑭丨以系统思维聚合力，以前瞻思考谋长远
作者：秦兴华、张云栋、杜官润
摄像：石耘泽、朱   凯、苏   杰",https://www.douyin.com/video/7244004160939576613,忠诚号,0.0,0.0,,0,
8988,战略支援部队驻津某部坚决站好抢险救援最后一班岗（作者：段博、于婷 编辑：王奕文）,https://www.douyin.com/video/7267502593763544381,中国战略支援,1.0,2.0,2.0,2,
1050,《逐梦》首集《充满光荣和梦想的远征》来了！#逐梦强军新征程,https://www.douyin.com/video/7262642085541678336,中国军号,0.0,4.0,,0,
7234,傲霜斗雪，博弈空天 “没有真本领，别来马衔山！”这个年平均气温只有10℃的高原雷达站到底有什么魅力，让一批批空军雷达兵坚守着“明知山上苦偏到山上来，越知山上苦越要长扎根”？来到这里的一年时间，他不仅找到了答案，也完全融入了这个荣誉集体。#我的这一年 主题系列短视频，本期推出西部战区空军雷达兵某旅“马衔山模范雷达站”主官王海鹏在高原雷达站这一年的故事。###探寻好生活的百种温度,https://www.douyin.com/video/7318555172790111507,人民空军,1.0,0.0,0.0,0,
2464,周末还在玩手机？快来看看小火伴的周末吧！ #军营生活 （袁文涛、方金龙、闫顺）,https://www.douyin.com/video/7253451252481150264,八一青春方阵,2.0,0.0,,0,
3005,穿过硝烟，卫勤分队向战而行！#时刻准备战斗 #一线练兵 #大场面 (作者：冯震宇、周新涛、赵萌、吕雪祥 编辑：李润泽）,https://www.douyin.com/video/7305750733545147687,东部战区,1.0,4.0,,4,
5019,超壮观！30秒看地导兵演练高燃瞬间！#壮观 #野外 #演练 #地导兵,https://www.douyin.com/video/7237148600667524407,中部空军,1.0,4.0,4.0,4,
2480,为什么入党？一起来回顾入党时的初心   #建党节 #不忘初心牢记使命（陈世锋、潘槿、邹浩、李志锴 编辑：郑洋榕）,https://www.douyin.com/video/7250664211821366539,八一青春方阵,2.0,0.0,,0,
3616,“硬骨头六连”#硬骨头六连 #两栖 #两栖坦克,https://www.douyin.com/video/7271536804640132371,人民前线,1.0,4.0,,4,
10069,激情比拼！武警吉林总队“巅峰”比武现场“战味”浓（武警吉林总队 梁永刚、朱源芳、吴光彦、南松含；编辑：曾锦旭）,https://www.douyin.com/video/7279389189890739490,人民武警,,4.0,,4,
3502,无寻处，唯有强军心！#听说这个音乐很火 #军恋 #军恋不易,https://www.douyin.com/video/7294932746269494538,人民前线,2.0,0.0,,2,
8281,宁可不玩手机，也要把战友卷的头皮发麻(作者:魏振亚、林俊斌  编辑:黄镇强)#军营回忆 #内卷 #内卷天花板 #军营趣事 #部队生活,https://www.douyin.com/video/7248394982820760884,联勤集结号,2.0,0.0,0.0,0,
6145,近日，南部战区海军某舰载直升机部队节后开展低空飞行、侦查巡逻、野外机动等实战化课目训练科目。(作者：侯捷  神宇  陈俊  刘禹帆 / 编辑：姬翔）,https://www.douyin.com/video/7196838809206574393,南海舰队,1.0,4.0,,4,
7867,军娃军嫂来拜年了,https://www.douyin.com/video/7190545352754285882,中国火箭军,2.0,2.0,2.0,2,
2736,兵哥哥版光剑变装   #光剑变装挑战 #青年官兵（马成锁、易谭俊康、耿梦爽；编辑：姚天宝）,https://www.douyin.com/video/7215557417273216291,八一青春方阵,2.0,0.0,,0,
7733,2023年春的第一场雪，刺杀操准备！,https://www.douyin.com/video/7212518478216006972,中国火箭军,1.0,4.0,4.0,4,
6160,新年——“星”的起点，近日，南部战区海军各级为2022年毕业军官学员隆重组织授衔仪式。（作者：李全 门良杰 姬翔 杜荣波 李润发 邹雨良 杨圆超 范中伟 刘懿君 黄厚人 神宇 孙铭 王韩非 邹柠 孙玺轩 李一鸣 陈祥 李刚 马亚刚 凌浩 赵浩然 李赵伟 杨堉博 付冲 郭志豪 王帅 / 编辑：姬翔）,https://www.douyin.com/video/7189161828935535927,南海舰队,1.0,3.0,,3,
7370,7月27日，空军航空开放活动·长春航空展现场，以多种形式进行纪念抗美援朝战争胜利70周年#空军航空开放日 #长春航空展 #强军之路,https://www.douyin.com/video/7260500453094444345,人民空军,1.0,1.0,1.0,1,
7834,干惊天动地事 ，做隐姓埋名人！东风快递小记者带你走进中国“两弹城”（上）,https://www.douyin.com/video/7195120033209650493,中国火箭军,1.0,0.0,0.0,0,
3386,危急时刻，“东风快递小哥”出手了！#感动  #注意防火 （李家鹏）,https://www.douyin.com/video/7187315646588357946,东部战区,4.0,2.0,,1,
7703,火箭军直招军官宣讲团走进河南大学，携笔从戎、青春无悔,https://www.douyin.com/video/7218009789735996733,中国火箭军,1.0,0.0,0.0,0,
11488,你们要的向云端，来啦！#向云端 #向云端山那边海里面,https://www.douyin.com/video/7253756786371546420,永不消逝的电波,,0.0,,0,
5800,轻骑千里播撒强军火种，文化盛宴点燃戍边豪情。北部战区陆军业余文艺轻骑队黑龙江篇接续来袭！（摄像：杨祥 张泉 张新玮 许春林 编辑：曹超）@中国军网 @人民日报 @人民陆军,https://www.douyin.com/video/7252096535809248527,北陆强军号,,0.0,,0,
